Category,Variable,Measure,Value,Group
pop,204918,60-64,1503302,Female
case of NMSC in 2008,1.0040982,60-64,61.9360424,Female
pop,292891,60-64,1954947,Female
case of NMSC in 2009,0,60-64,75.0699648,Female
pop,486435,60-64,2887210,Female
case of NMSC in 2010,0,60-64,114.044795,Female
pop,612356,60-64,3542509,Female
case of NMSC in 2011,0,60-64,144.8886181,Female
pop,882447,60-64,5028979,Female
case of NMSC in 2012,2.0296281,60-64,210.2113222,Female
pop,991430,60-64,6086285,Female
case of NMSC in 2013,0,60-64,230.061573,Female
pop,1321862,60-64,8062979,Female
case of NMSC in 2014,0,60-64,356.3836718,Female
pop,1416150,60-64,9366577,Female
case of NMSC in 2015,0,60-64,404.6361264,Female
pop,1788641,60-64,11386814,Female
case of NMSC in 2016,3.9350102,60-64,496.4650904,Female
pop,2188292,60-64,13144245,Female
case of NMSC in 2017,3.0636088,60-64,562.573686,Female
pop,2519946,60-64,15611141,Female
case of NMSC in 2018,3.0239352,60-64,733.723627,Female
Incident of NMSC in 2005,0,65-69,5.67,Female
Incident of NMSC in 2006,0,65-69,4.89,Female
Incident of NMSC in 2007,0,65-69,5.4,Female
Incident of NMSC in 2008,0.49,65-69,5.17,Female
Incident of NMSC in 2009,0,65-69,5.36,Female
Incident of NMSC in 2010,0,65-69,4.53,Female
Incident of NMSC in 2011,0,65-69,5.93,Female
Incident of NMSC in 2012,0.23,65-69,6.49,Female
Incident of NMSC in 2013,0,65-69,5.36,Female
Incident of NMSC in 2014,0,65-69,5.88,Female
Incident of NMSC in 2015,0,65-69,5.83,Female
Incident of NMSC in 2016,0.22,65-69,6.2,Female
Incident of NMSC in 2017,0.14,65-69,6.4,Female
Incident of NMSC in 2018,0.12,65-69,7.01,Female
Incident of NMSC in 2018,0-,65-69,65-69,Female
pop,155305,65-69,1057865,Female
case of NMSC in 2005,0,65-69,59.9809455,Female
pop,174563,65-69,1125686,Female
case of NMSC in 2006,0,65-69,55.0460454,Female
pop,191701,65-69,1111722,Female
case of NMSC in 2007,0,65-69,60.032988,Female
pop,204918,65-69,1200246,Female
case of NMSC in 2008,1.0040982,65-69,62.0527182,Female
pop,292891,65-69,1492917,Female
