Category,Variable,Measure,Value,Group
case of NMSC in 2005,0,50-54,74.0935084,National
pop,366806,50-54,4605257,National
case of NMSC in 2006,0.9903762,50-54,93.9472428,National
pop,406298,50-54,4694874,National
case of NMSC in 2007,0,50-54,104.2262028,National
pop,435222,50-54,5549035,National
case of NMSC in 2008,1.0010106,50-54,124.8532875,National
pop,620042,50-54,6638912,National
case of NMSC in 2009,0.9920672,50-54,116.8448512,National
pop,1039937,50-54,9271970,National
case of NMSC in 2010,0,50-54,156.696293,National
pop,1296974,50-54,10367143,National
case of NMSC in 2011,0,50-54,193.8655741,National
pop,1876699,50-54,13679936,National
case of NMSC in 2012,3.9410679,50-54,288.6466496,National
pop,2111613,50-54,15942076,National
case of NMSC in 2013,1.0558065,50-54,280.5805376,National
pop,2814044,50-54,20860587,National
case of NMSC in 2014,0,50-54,408.8675052,National
pop,3019983,50-54,24368121,National
case of NMSC in 2015,0.9059949,50-54,470.3047353,National
pop,3815719,50-54,28879966,National
case of NMSC in 2016,8.0130099,50-54,661.3512214,National
pop,4653648,50-54,32891678,National
case of NMSC in 2017,2.7921888,50-54,759.7977618,National
pop,5351889,50-54,39175921,National
case of NMSC in 2018,4.8167001,50-54,893.2109988,National
Incident of NMSC in 2005,0,55-59,2.99,National
Incident of NMSC in 2006,0.27,55-59,2.97,National
Incident of NMSC in 2007,0,55-59,3.13,National
Incident of NMSC in 2008,0.23,55-59,2.59,National
Incident of NMSC in 2009,0.16,55-59,2.77,National
Incident of NMSC in 2010,0,55-59,3.02,National
Incident of NMSC in 2011,0,55-59,3.14,National
Incident of NMSC in 2012,0.21,55-59,3.24,National
Incident of NMSC in 2013,0.05,55-59,2.96,National
Incident of NMSC in 2014,0,55-59,2.96,National
Incident of NMSC in 2015,0.03,55-59,3.08,National
Incident of NMSC in 2016,0.21,55-59,2.76,National
Incident of NMSC in 2017,0.06,55-59,2.56,National
Incident of NMSC in 2018,0.09,55-59,2.94,National
Incident of NMSC in 2018,0-,55-59,55-59,National
pop,328711,55-59,2840819,National
case of NMSC in 2005,0,55-59,84.9404881,National
pop,366806,55-59,3195320,National
case of NMSC in 2006,0.9903762,55-59,94.901004,National
pop,406298,55-59,3352967,National
case of NMSC in 2007,0,55-59,104.9478671,National
pop,435222,55-59,4144899,National
case of NMSC in 2008,1.0010106,55-59,107.3528841,National
pop,620042,55-59,5485661,National
case of NMSC in 2009,0.9920672,55-59,151.9528097,National
pop,1039937,55-59,8211844,National
case of NMSC in 2010,0,55-59,247.9976888,National
pop,1296974,55-59,10032914,National
case of NMSC in 2011,0,55-59,315.0334996,National
pop,1876699,55-59,14055861,National
case of NMSC in 2012,3.9410679,55-59,455.4098964,National
pop,2111613,55-59,16276706,National
case of NMSC in 2013,1.0558065,55-59,481.7904976,National
pop,2814044,55-59,19878526,National
case of NMSC in 2014,0,55-59,588.4043696,National
pop,3019983,55-59,21118676,National
case of NMSC in 2015,0.9059949,55-59,650.4552208,National
pop,3815719,55-59,24484064,National
case of NMSC in 2016,8.0130099,55-59,675.7601664,National
pop,4653648,55-59,27318505,National
case of NMSC in 2017,2.7921888,55-59,699.353728,National
pop,5351889,55-59,33671990,National
case of NMSC in 2018,4.8167001,55-59,989.956506,National
Incident of NMSC in 2005,0,60-64,4.69,National
Incident of NMSC in 2006,0.27,60-64,4.26,National
Incident of NMSC in 2007,0,60-64,4.29,National
Incident of NMSC in 2008,0.23,60-64,4.86,National
Incident of NMSC in 2009,0.16,60-64,4.42,National
Incident of NMSC in 2010,0,60-64,4.79,National
Incident of NMSC in 2011,0,60-64,4.76,National
Incident of NMSC in 2012,0.21,60-64,5.07,National
Incident of NMSC in 2013,0.05,60-64,4.49,National
Incident of NMSC in 2014,0,60-64,5.08,National
Incident of NMSC in 2015,0.03,60-64,4.64,National
Incident of NMSC in 2016,0.21,60-64,4.86,National
Incident of NMSC in 2017,0.06,60-64,4.94,National
Incident of NMSC in 2018,0.09,60-64,5.22,National
Incident of NMSC in 2018,0-,60-64,60-64,National
pop,328711,60-64,2109422,National
case of NMSC in 2005,0,60-64,98.9318918,National
pop,366806,60-64,2369247,National
case of NMSC in 2006,0.9903762,60-64,100.9299222,National
pop,406298,60-64,2472038,National
case of NMSC in 2007,0,60-64,106.0504302,National
pop,435222,60-64,2983245,National
case of NMSC in 2008,1.0010106,60-64,144.985707,National
pop,620042,60-64,3916364,National
case of NMSC in 2009,0.9920672,60-64,173.1032888,National
pop,1039937,60-64,5800088,National
case of NMSC in 2010,0,60-64,277.8242152,National
pop,1296974,60-64,7114395,National
case of NMSC in 2011,0,60-64,338.645202,National
pop,1876699,60-64,10112526,National
case of NMSC in 2012,3.9410679,60-64,512.7050682,National
pop,2111613,60-64,12229639,National
case of NMSC in 2013,1.0558065,60-64,549.1107911,National
pop,2814044,60-64,16141504,National
case of NMSC in 2014,0,60-64,819.9884032,National
pop,3019983,60-64,18741286,National
case of NMSC in 2015,0.9059949,60-64,869.5956704,National
pop,3815719,60-64,22818464,National
case of NMSC in 2016,8.0130099,60-64,1108.9773504,National
pop,4653648,60-64,26394347,National
case of NMSC in 2017,2.7921888,60-64,1303.8807418,National
pop,5351889,60-64,31384128,National
case of NMSC in 2018,4.8167001,60-64,1638.2514816,National
Incident of NMSC in 2005,0,65-69,6.39,National
Incident of NMSC in 2006,0.27,65-69,5.72,National
Incident of NMSC in 2007,0,65-69,6.02,National
Incident of NMSC in 2008,0.23,65-69,6.3,National
Incident of NMSC in 2009,0.16,65-69,5.93,National
Incident of NMSC in 2010,0,65-69,5.77,National
Incident of NMSC in 2011,0,65-69,6.67,National
Incident of NMSC in 2012,0.21,65-69,7.27,National
Incident of NMSC in 2013,0.05,65-69,6.28,National
Incident of NMSC in 2014,0,65-69,6.75,National
Incident of NMSC in 2015,0.03,65-69,6.76,National
Incident of NMSC in 2016,0.21,65-69,6.98,National
Incident of NMSC in 2017,0.06,65-69,7.13,National
Incident of NMSC in 2018,0.09,65-69,7.64,National
Incident of NMSC in 2018,0-,65-69,65-69,National
pop,328711,65-69,2049628,National
case of NMSC in 2005,0,65-69,130.9712292,National
pop,366806,65-69,2184071,National
case of NMSC in 2006,0.9903762,65-69,124.9288612,National
pop,406298,65-69,2158312,National
case of NMSC in 2007,0,65-69,129.9303824,National
pop,435222,65-69,2334053,National
case of NMSC in 2008,1.0010106,65-69,147.045339,National
pop,620042,65-69,2951001,National
case of NMSC in 2009,0.9920672,65-69,174.9943593,National
pop,1039937,65-69,4226310,National
case of NMSC in 2010,0,65-69,243.858087,National
pop,1296974,65-69,5113489,National
case of NMSC in 2011,0,65-69,341.0697163,National
pop,1876699,65-69,7040979,National
case of NMSC in 2012,3.9410679,65-69,511.8791733,National
pop,2111613,65-69,8413853,National
case of NMSC in 2013,1.0558065,65-69,528.3899684,National
