Category,Variable,Measure,Value,Group
Incident of NMSC in 2015,0,60-64,5.35,Urban
Incident of NMSC in 2016,0.22,60-64,5.29,Urban
Incident of NMSC in 2017,0.04,60-64,5.45,Urban
Incident of NMSC in 2018,0.08,60-64,5.8,Urban
Incident of NMSC in 2018,0-,60-64,60-64,Urban
pop,196647,60-64,1579718,Urban
case of NMSC in 2005,0,60-64,73.9308024,Urban
pop,246212,60-64,1896558,Urban
case of NMSC in 2006,0,60-64,81.9313056,Urban
pop,256582,60-64,1888634,Urban
case of NMSC in 2007,0,60-64,85.932847,Urban
pop,320424,60-64,2384913,Urban
case of NMSC in 2008,0.9933144,60-64,127.1158629,Urban
pop,384131,60-64,2676971,Urban
case of NMSC in 2009,0.9987406,60-64,131.9746703,Urban
pop,595402,60-64,3761637,Urban
case of NMSC in 2010,0,60-64,191.0911596,Urban
pop,688959,60-64,4457196,Urban
case of NMSC in 2011,0,60-64,229.9913136,Urban
pop,841767,60-64,5380756,Urban
case of NMSC in 2012,2.0202408,60-64,293.7892776,Urban
pop,923346,60-64,6357947,Urban
case of NMSC in 2013,1.0156806,60-64,326.1626811,Urban
pop,1275248,60-64,8410046,Urban
case of NMSC in 2014,0,60-64,502.9207508,Urban
pop,1352817,60-64,9368698,Urban
case of NMSC in 2015,0,60-64,501.225343,Urban
pop,1851490,60-64,11910003,Urban
case of NMSC in 2016,4.073278,60-64,630.0391587,Urban
pop,2253504,60-64,13531239,Urban
